ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-L+StopWordRemoval+Stemming,31201,SUMM.TXT,0.04498,0.48864,0.08238,4

ROUGE-1+StopWordRemoval+Stemming,31201,SUMM.TXT,0.09901,0.51136,0.16590,4

ROUGE-2+StopWordRemoval+Stemming,31201,SUMM.TXT,0.05773,0.20402,0.08999,4

ROUGE-SU4+StopWordRemoval+Stemming,31201,SUMM.TXT,0.08681,0.22151,0.12473,4

ROUGE-L+StopWordRemoval+Stemming,31203,SUMM.TXT,0.11153,0.54769,0.18532,3

ROUGE-1+StopWordRemoval+Stemming,31203,SUMM.TXT,0.12307,0.63978,0.20643,3

ROUGE-2+StopWordRemoval+Stemming,31203,SUMM.TXT,0.04626,0.14905,0.07060,3

ROUGE-SU4+StopWordRemoval+Stemming,31203,SUMM.TXT,0.09202,0.24262,0.13343,3

ROUGE-L+StopWordRemoval+Stemming,32773,SUMM.TXT,0.07850,0.34146,0.12765,3

ROUGE-1+StopWordRemoval+Stemming,32773,SUMM.TXT,0.06239,0.33333,0.10511,3

ROUGE-2+StopWordRemoval+Stemming,32773,SUMM.TXT,0.03386,0.14286,0.05474,3

ROUGE-SU4+StopWordRemoval+Stemming,32773,SUMM.TXT,0.03950,0.12043,0.05949,3

ROUGE-L+StopWordRemoval+Stemming,32531,SUMM.TXT,0.13456,0.45222,0.20741,3

ROUGE-1+StopWordRemoval+Stemming,32531,SUMM.TXT,0.18923,0.53252,0.27923,3

ROUGE-2+StopWordRemoval+Stemming,32531,SUMM.TXT,0.08135,0.17178,0.11041,3

ROUGE-SU4+StopWordRemoval+Stemming,32531,SUMM.TXT,0.15478,0.23128,0.18545,3

ROUGE-L+StopWordRemoval+Stemming,31202,SUMM.TXT,0.11163,0.32077,0.16562,3

ROUGE-1+StopWordRemoval+Stemming,31202,SUMM.TXT,0.15971,0.44565,0.23515,3

ROUGE-2+StopWordRemoval+Stemming,31202,SUMM.TXT,0.02997,0.05647,0.03915,3

ROUGE-SU4+StopWordRemoval+Stemming,31202,SUMM.TXT,0.10174,0.14249,0.11872,3

ROUGE-L+StopWordRemoval+Stemming,31681,SUMM.TXT,0.07612,0.55906,0.13399,4

ROUGE-1+StopWordRemoval+Stemming,31681,SUMM.TXT,0.12465,0.76246,0.21428,4

ROUGE-2+StopWordRemoval+Stemming,31681,SUMM.TXT,0.11453,0.50867,0.18696,4

ROUGE-SU4+StopWordRemoval+Stemming,31681,SUMM.TXT,0.14159,0.46522,0.21710,4

ROUGE-L+StopWordRemoval+Stemming,32771,SUMM.TXT,0.16095,0.35309,0.22111,4

ROUGE-1+StopWordRemoval+Stemming,32771,SUMM.TXT,0.15040,0.35814,0.21184,4

ROUGE-2+StopWordRemoval+Stemming,32771,SUMM.TXT,0.04587,0.07710,0.05752,4

ROUGE-SU4+StopWordRemoval+Stemming,32771,SUMM.TXT,0.09277,0.12113,0.10507,4

ROUGE-L+StopWordRemoval+Stemming,32651,SUMM.TXT,0.05193,0.78947,0.09745,3

ROUGE-1+StopWordRemoval+Stemming,32651,SUMM.TXT,0.05062,0.90090,0.09585,3

ROUGE-2+StopWordRemoval+Stemming,32651,SUMM.TXT,0.05575,0.73148,0.10360,3

ROUGE-SU4+StopWordRemoval+Stemming,32651,SUMM.TXT,0.06444,0.64952,0.11725,3

ROUGE-L+StopWordRemoval+Stemming,32098,SUMM.TXT,0.06395,0.78571,0.11828,4

ROUGE-1+StopWordRemoval+Stemming,32098,SUMM.TXT,0.08391,0.88258,0.15325,4

ROUGE-2+StopWordRemoval+Stemming,32098,SUMM.TXT,0.10068,0.68702,0.17562,4

ROUGE-SU4+StopWordRemoval+Stemming,32098,SUMM.TXT,0.08966,0.60423,0.15615,4

ROUGE-L+StopWordRemoval+Stemming,31440,SUMM.TXT,0.16922,0.40801,0.23923,3

ROUGE-1+StopWordRemoval+Stemming,31440,SUMM.TXT,0.17178,0.53405,0.25995,3

ROUGE-2+StopWordRemoval+Stemming,31440,SUMM.TXT,0.03466,0.09518,0.05081,3

ROUGE-SU4+StopWordRemoval+Stemming,31440,SUMM.TXT,0.11047,0.17633,0.13584,3

ROUGE-L+StopWordRemoval+Stemming,31329,SUMM.TXT,0.07035,0.58586,0.12562,3

ROUGE-1+StopWordRemoval+Stemming,31329,SUMM.TXT,0.04711,0.65278,0.08787,3

ROUGE-2+StopWordRemoval+Stemming,31329,SUMM.TXT,0.03859,0.31915,0.06885,3

ROUGE-SU4+StopWordRemoval+Stemming,31329,SUMM.TXT,0.05093,0.31449,0.08767,3

ROUGE-L+StopWordRemoval+Stemming,30913,SUMM.TXT,0.09139,0.44610,0.15170,3

ROUGE-1+StopWordRemoval+Stemming,30913,SUMM.TXT,0.15402,0.47662,0.23281,3

ROUGE-2+StopWordRemoval+Stemming,30913,SUMM.TXT,0.07669,0.15803,0.10327,3

ROUGE-SU4+StopWordRemoval+Stemming,30913,SUMM.TXT,0.11225,0.16445,0.13343,3

ROUGE-L+StopWordRemoval+Stemming,31568,SUMM.TXT,0.20403,0.49828,0.28951,3

ROUGE-1+StopWordRemoval+Stemming,31568,SUMM.TXT,0.25403,0.47119,0.33010,3

ROUGE-2+StopWordRemoval+Stemming,31568,SUMM.TXT,0.16483,0.24036,0.19555,3

ROUGE-SU4+StopWordRemoval+Stemming,31568,SUMM.TXT,0.20508,0.24391,0.22282,3

ROUGE-L+StopWordRemoval+Stemming,31204,SUMM.TXT,0.20549,0.66184,0.31361,3

ROUGE-1+StopWordRemoval+Stemming,31204,SUMM.TXT,0.23578,0.60443,0.33923,3

ROUGE-2+StopWordRemoval+Stemming,31204,SUMM.TXT,0.10217,0.18887,0.13261,3

ROUGE-SU4+StopWordRemoval+Stemming,31204,SUMM.TXT,0.16150,0.20829,0.18194,3

ROUGE-L+StopWordRemoval+Stemming,31567,SUMM.TXT,0.12777,0.48710,0.20243,4

ROUGE-1+StopWordRemoval+Stemming,31567,SUMM.TXT,0.07188,0.50710,0.12591,4

ROUGE-2+StopWordRemoval+Stemming,31567,SUMM.TXT,0.03639,0.18233,0.06068,4

ROUGE-SU4+StopWordRemoval+Stemming,31567,SUMM.TXT,0.05475,0.20991,0.08685,4

ROUGE-L+StopWordRemoval+Stemming,32538,SUMM.TXT,0.04314,0.49677,0.07939,5

ROUGE-1+StopWordRemoval+Stemming,32538,SUMM.TXT,0.02721,0.56140,0.05190,5

ROUGE-2+StopWordRemoval+Stemming,32538,SUMM.TXT,0.01133,0.19286,0.02140,5

ROUGE-SU4+StopWordRemoval+Stemming,32538,SUMM.TXT,0.01757,0.22982,0.03265,5

ROUGE-L+StopWordRemoval+Stemming,32414,SUMM.TXT,0.11466,0.45139,0.18286,3

ROUGE-1+StopWordRemoval+Stemming,32414,SUMM.TXT,0.10718,0.54891,0.17934,3

ROUGE-2+StopWordRemoval+Stemming,32414,SUMM.TXT,0.03150,0.12022,0.04992,3

ROUGE-SU4+StopWordRemoval+Stemming,32414,SUMM.TXT,0.07118,0.21062,0.10641,3

ROUGE-L+StopWordRemoval+Stemming,32657,SUMM.TXT,0.13119,0.56522,0.21295,3

ROUGE-1+StopWordRemoval+Stemming,32657,SUMM.TXT,0.15269,0.56433,0.24034,3

ROUGE-2+StopWordRemoval+Stemming,32657,SUMM.TXT,0.05667,0.15339,0.08276,3

ROUGE-SU4+StopWordRemoval+Stemming,32657,SUMM.TXT,0.10292,0.21012,0.13817,3

ROUGE-L+StopWordRemoval+Stemming,33053,SUMM.TXT,0.04197,0.25926,0.07225,3

ROUGE-1+StopWordRemoval+Stemming,33053,SUMM.TXT,0.02831,0.24490,0.05075,3

ROUGE-2+StopWordRemoval+Stemming,33053,SUMM.TXT,0.00000,0.00000,0.00000,3

ROUGE-SU4+StopWordRemoval+Stemming,33053,SUMM.TXT,0.01182,0.05390,0.01939,3

ROUGE-L+StopWordRemoval+Stemming,33054,SUMM.TXT,0.17893,0.38596,0.24451,3

ROUGE-1+StopWordRemoval+Stemming,33054,SUMM.TXT,0.22019,0.42057,0.28905,3

ROUGE-2+StopWordRemoval+Stemming,33054,SUMM.TXT,0.08069,0.12418,0.09782,3

ROUGE-SU4+StopWordRemoval+Stemming,33054,SUMM.TXT,0.13725,0.16142,0.14835,3

ROUGE-L+StopWordRemoval+Stemming,31794,SUMM.TXT,0.14168,0.36842,0.20465,3

ROUGE-1+StopWordRemoval+Stemming,31794,SUMM.TXT,0.12853,0.45476,0.20042,3

ROUGE-2+StopWordRemoval+Stemming,31794,SUMM.TXT,0.09514,0.15588,0.11816,3

ROUGE-SU4+StopWordRemoval+Stemming,31794,SUMM.TXT,0.14139,0.19034,0.16225,3

ROUGE-L+StopWordRemoval+Stemming,32886,SUMM.TXT,0.15039,0.41969,0.22144,4

ROUGE-1+StopWordRemoval+Stemming,32886,SUMM.TXT,0.17962,0.50691,0.26525,4

ROUGE-2+StopWordRemoval+Stemming,32886,SUMM.TXT,0.06496,0.12763,0.08610,4

ROUGE-SU4+StopWordRemoval+Stemming,32886,SUMM.TXT,0.11813,0.18382,0.14383,4

ROUGE-L+StopWordRemoval+Stemming,33057,SUMM.TXT,0.05276,0.22685,0.08561,4

ROUGE-1+StopWordRemoval+Stemming,33057,SUMM.TXT,0.06874,0.38272,0.11655,4

ROUGE-2+StopWordRemoval+Stemming,33057,SUMM.TXT,0.01052,0.04688,0.01719,4

ROUGE-SU4+StopWordRemoval+Stemming,33057,SUMM.TXT,0.04169,0.13354,0.06355,4

ROUGE-L+StopWordRemoval+Stemming,30901,SUMM.TXT,0.05197,0.39977,0.09198,3

ROUGE-1+StopWordRemoval+Stemming,30901,SUMM.TXT,0.07830,0.42491,0.13223,3

ROUGE-2+StopWordRemoval+Stemming,30901,SUMM.TXT,0.01833,0.08656,0.03026,3

ROUGE-SU4+StopWordRemoval+Stemming,30901,SUMM.TXT,0.04542,0.15852,0.07061,3

ROUGE-L+StopWordRemoval+Stemming,31319,SUMM.TXT,0.04101,0.66667,0.07727,3

ROUGE-1+StopWordRemoval+Stemming,31319,SUMM.TXT,0.03193,0.41176,0.05926,3

ROUGE-2+StopWordRemoval+Stemming,31319,SUMM.TXT,0.00035,0.00667,0.00067,3

ROUGE-SU4+StopWordRemoval+Stemming,31319,SUMM.TXT,0.01350,0.09388,0.02360,3

ROUGE-L+StopWordRemoval+Stemming,30903,SUMM.TXT,0.08088,0.35055,0.13143,3

ROUGE-1+StopWordRemoval+Stemming,30903,SUMM.TXT,0.03624,0.37037,0.06602,3

ROUGE-2+StopWordRemoval+Stemming,30903,SUMM.TXT,0.01237,0.08602,0.02163,3

ROUGE-SU4+StopWordRemoval+Stemming,30903,SUMM.TXT,0.01855,0.11585,0.03197,3

ROUGE-L+StopWordRemoval+Stemming,32408,SUMM.TXT,0.08553,0.77273,0.15401,3

ROUGE-1+StopWordRemoval+Stemming,32408,SUMM.TXT,0.11528,0.83626,0.20263,3

ROUGE-2+StopWordRemoval+Stemming,32408,SUMM.TXT,0.09980,0.60119,0.17118,3

ROUGE-SU4+StopWordRemoval+Stemming,32408,SUMM.TXT,0.11670,0.57939,0.19427,3

ROUGE-L+StopWordRemoval+Stemming,30902,SUMM.TXT,0.08176,0.39303,0.13537,3

ROUGE-1+StopWordRemoval+Stemming,30902,SUMM.TXT,0.13265,0.50667,0.21025,3

ROUGE-2+StopWordRemoval+Stemming,30902,SUMM.TXT,0.02085,0.05593,0.03037,3

ROUGE-SU4+StopWordRemoval+Stemming,30902,SUMM.TXT,0.09201,0.18153,0.12212,3

ROUGE-L+StopWordRemoval+Stemming,31678,SUMM.TXT,0.07295,0.46154,0.12599,4

ROUGE-1+StopWordRemoval+Stemming,31678,SUMM.TXT,0.04715,0.54032,0.08673,4

ROUGE-2+StopWordRemoval+Stemming,31678,SUMM.TXT,0.03043,0.21667,0.05336,4

ROUGE-SU4+StopWordRemoval+Stemming,31678,SUMM.TXT,0.04950,0.25345,0.08282,4

ROUGE-L+StopWordRemoval+Stemming,31315,SUMM.TXT,0.08061,0.31068,0.12801,3

ROUGE-1+StopWordRemoval+Stemming,31315,SUMM.TXT,0.13573,0.12823,0.13188,3

ROUGE-2+StopWordRemoval+Stemming,31315,SUMM.TXT,0.03731,0.03200,0.03445,3

ROUGE-SU4+StopWordRemoval+Stemming,31315,SUMM.TXT,0.06291,0.04593,0.05310,3

ROUGE-L+StopWordRemoval+Stemming,31677,SUMM.TXT,0.11469,0.36015,0.17398,3

ROUGE-1+StopWordRemoval+Stemming,31677,SUMM.TXT,0.20076,0.54560,0.29352,3

ROUGE-2+StopWordRemoval+Stemming,31677,SUMM.TXT,0.12290,0.21169,0.15551,3

ROUGE-SU4+StopWordRemoval+Stemming,31677,SUMM.TXT,0.17568,0.21524,0.19346,3

ROUGE-L+StopWordRemoval+Stemming,32648,SUMM.TXT,0.07575,0.79535,0.13833,3

ROUGE-1+StopWordRemoval+Stemming,32648,SUMM.TXT,0.12406,0.84317,0.21630,3

ROUGE-2+StopWordRemoval+Stemming,32648,SUMM.TXT,0.10065,0.61079,0.17282,3

ROUGE-SU4+StopWordRemoval+Stemming,32648,SUMM.TXT,0.11152,0.62634,0.18933,3

ROUGE-L+StopWordRemoval+Stemming,31316,SUMM.TXT,0.19295,0.42309,0.26503,4

ROUGE-1+StopWordRemoval+Stemming,31316,SUMM.TXT,0.22038,0.42349,0.28990,4

ROUGE-2+StopWordRemoval+Stemming,31316,SUMM.TXT,0.11445,0.19648,0.14464,4

ROUGE-SU4+StopWordRemoval+Stemming,31316,SUMM.TXT,0.16350,0.21436,0.18551,4

ROUGE-L+StopWordRemoval+Stemming,32074,SUMM.TXT,0.34526,0.49409,0.40648,4

ROUGE-1+StopWordRemoval+Stemming,32074,SUMM.TXT,0.36034,0.13998,0.20163,4

ROUGE-2+StopWordRemoval+Stemming,32074,SUMM.TXT,0.21707,0.05589,0.08889,4

ROUGE-SU4+StopWordRemoval+Stemming,32074,SUMM.TXT,0.27307,0.05786,0.09549,4

ROUGE-L+StopWordRemoval+Stemming,32196,SUMM.TXT,0.18418,0.49064,0.26782,3

ROUGE-1+StopWordRemoval+Stemming,32196,SUMM.TXT,0.23540,0.50361,0.32083,3

ROUGE-2+StopWordRemoval+Stemming,32196,SUMM.TXT,0.08311,0.14203,0.10486,3

ROUGE-SU4+StopWordRemoval+Stemming,32196,SUMM.TXT,0.16967,0.19913,0.18322,3

ROUGE-L+StopWordRemoval+Stemming,32072,SUMM.TXT,0.15241,0.49123,0.23264,3

ROUGE-1+StopWordRemoval+Stemming,32072,SUMM.TXT,0.17188,0.55871,0.26289,3

ROUGE-2+StopWordRemoval+Stemming,32072,SUMM.TXT,0.04971,0.12571,0.07125,3

ROUGE-SU4+StopWordRemoval+Stemming,32072,SUMM.TXT,0.10759,0.21762,0.14400,3

ROUGE-L+StopWordRemoval+Stemming,32071,SUMM.TXT,0.04855,0.76667,0.09133,4

ROUGE-1+StopWordRemoval+Stemming,32071,SUMM.TXT,0.04112,0.67969,0.07754,4

ROUGE-2+StopWordRemoval+Stemming,32071,SUMM.TXT,0.00880,0.12097,0.01641,4

ROUGE-SU4+StopWordRemoval+Stemming,32071,SUMM.TXT,0.02148,0.19833,0.03876,4

ROUGE-L+StopWordRemoval+Stemming,32190,SUMM.TXT,0.14362,0.45370,0.21817,3

ROUGE-1+StopWordRemoval+Stemming,32190,SUMM.TXT,0.20470,0.42906,0.27717,3

ROUGE-2+StopWordRemoval+Stemming,32190,SUMM.TXT,0.08468,0.13402,0.10378,3

ROUGE-SU4+StopWordRemoval+Stemming,32190,SUMM.TXT,0.15724,0.17962,0.16768,3

ROUGE-L+StopWordRemoval+Stemming,31784,SUMM.TXT,0.15451,0.40580,0.22380,3

ROUGE-1+StopWordRemoval+Stemming,31784,SUMM.TXT,0.18501,0.45393,0.26288,3

ROUGE-2+StopWordRemoval+Stemming,31784,SUMM.TXT,0.05881,0.13061,0.08110,3

ROUGE-SU4+StopWordRemoval+Stemming,31784,SUMM.TXT,0.12579,0.20191,0.15501,3

ROUGE-L+StopWordRemoval+Stemming,32874,SUMM.TXT,0.06864,0.38690,0.11660,4

ROUGE-1+StopWordRemoval+Stemming,32874,SUMM.TXT,0.05918,0.54918,0.10684,4

ROUGE-2+StopWordRemoval+Stemming,32874,SUMM.TXT,0.01220,0.08750,0.02141,4

ROUGE-SU4+StopWordRemoval+Stemming,32874,SUMM.TXT,0.04405,0.19661,0.07197,4

ROUGE-L+StopWordRemoval+Stemming,31664,SUMM.TXT,0.08336,0.52846,0.14401,3

ROUGE-1+StopWordRemoval+Stemming,31664,SUMM.TXT,0.07267,0.63810,0.13048,3

ROUGE-2+StopWordRemoval+Stemming,31664,SUMM.TXT,0.03038,0.23397,0.05378,3

ROUGE-SU4+StopWordRemoval+Stemming,31664,SUMM.TXT,0.04034,0.28867,0.07079,3

ROUGE-L+StopWordRemoval+Stemming,32197,SUMM.TXT,0.10792,0.69565,0.18686,3

ROUGE-1+StopWordRemoval+Stemming,32197,SUMM.TXT,0.09646,0.70588,0.16973,3

ROUGE-2+StopWordRemoval+Stemming,32197,SUMM.TXT,0.08106,0.52525,0.14045,3

ROUGE-SU4+StopWordRemoval+Stemming,32197,SUMM.TXT,0.08040,0.38958,0.13329,3

ROUGE-L+StopWordRemoval+Stemming,31540,SUMM.TXT,0.10033,0.36726,0.15760,3

ROUGE-1+StopWordRemoval+Stemming,31540,SUMM.TXT,0.13983,0.28625,0.18788,3

ROUGE-2+StopWordRemoval+Stemming,31540,SUMM.TXT,0.04893,0.09829,0.06534,3

ROUGE-SU4+StopWordRemoval+Stemming,31540,SUMM.TXT,0.08415,0.12064,0.09914,3

ROUGE-L+StopWordRemoval+Stemming,31661,SUMM.TXT,0.18361,0.39844,0.25138,3

ROUGE-1+StopWordRemoval+Stemming,31661,SUMM.TXT,0.21422,0.46887,0.29408,3

ROUGE-2+StopWordRemoval+Stemming,31661,SUMM.TXT,0.12000,0.17096,0.14102,3

ROUGE-SU4+StopWordRemoval+Stemming,31661,SUMM.TXT,0.18149,0.20123,0.19086,3

ROUGE-L+StopWordRemoval+Stemming,31546,SUMM.TXT,0.24824,0.43512,0.31613,4

ROUGE-1+StopWordRemoval+Stemming,31546,SUMM.TXT,0.27043,0.43215,0.33267,4

ROUGE-2+StopWordRemoval+Stemming,31546,SUMM.TXT,0.09107,0.09536,0.09316,4

ROUGE-SU4+StopWordRemoval+Stemming,31546,SUMM.TXT,0.18573,0.15451,0.16869,4

ROUGE-L+StopWordRemoval+Stemming,31424,SUMM.TXT,0.10683,0.53939,0.17833,3

ROUGE-1+StopWordRemoval+Stemming,31424,SUMM.TXT,0.06504,0.67025,0.11857,3

ROUGE-2+StopWordRemoval+Stemming,31424,SUMM.TXT,0.02934,0.23188,0.05208,3

ROUGE-SU4+StopWordRemoval+Stemming,31424,SUMM.TXT,0.04917,0.30989,0.08487,3

ROUGE-L+StopWordRemoval+Stemming,32879,SUMM.TXT,0.34451,0.55208,0.42427,3

ROUGE-1+StopWordRemoval+Stemming,32879,SUMM.TXT,0.42066,0.18483,0.25681,3

ROUGE-2+StopWordRemoval+Stemming,32879,SUMM.TXT,0.34168,0.10367,0.15908,3

ROUGE-SU4+StopWordRemoval+Stemming,32879,SUMM.TXT,0.39228,0.11301,0.17547,3

ROUGE-L+StopWordRemoval+Stemming,31306,SUMM.TXT,0.27441,0.59449,0.37549,3

ROUGE-1+StopWordRemoval+Stemming,31306,SUMM.TXT,0.28246,0.59318,0.38269,3

ROUGE-2+StopWordRemoval+Stemming,31306,SUMM.TXT,0.19550,0.33202,0.24609,3

ROUGE-SU4+StopWordRemoval+Stemming,31306,SUMM.TXT,0.24963,0.35741,0.29395,3

ROUGE-L+StopWordRemoval+Stemming,32185,SUMM.TXT,0.04479,0.60417,0.08339,3

ROUGE-1+StopWordRemoval+Stemming,32185,SUMM.TXT,0.06023,0.60494,0.10955,3

ROUGE-2+StopWordRemoval+Stemming,32185,SUMM.TXT,0.04971,0.39623,0.08834,3

ROUGE-SU4+StopWordRemoval+Stemming,32185,SUMM.TXT,0.06819,0.42436,0.11749,3

ROUGE-L+StopWordRemoval+Stemming,32061,SUMM.TXT,0.30067,0.57548,0.39498,4

ROUGE-1+StopWordRemoval+Stemming,32061,SUMM.TXT,0.33762,0.67831,0.45084,4

ROUGE-2+StopWordRemoval+Stemming,32061,SUMM.TXT,0.24576,0.34139,0.28579,4

ROUGE-SU4+StopWordRemoval+Stemming,32061,SUMM.TXT,0.29344,0.32263,0.30734,4

ROUGE-L+StopWordRemoval+Stemming,32183,SUMM.TXT,0.11911,0.29778,0.17016,3

ROUGE-1+StopWordRemoval+Stemming,32183,SUMM.TXT,0.14111,0.22861,0.17451,3

ROUGE-2+StopWordRemoval+Stemming,32183,SUMM.TXT,0.06731,0.07556,0.07119,3

ROUGE-SU4+StopWordRemoval+Stemming,32183,SUMM.TXT,0.08319,0.08155,0.08236,3

ROUGE-L+StopWordRemoval+Stemming,32180,SUMM.TXT,0.06829,0.30729,0.11175,4

ROUGE-1+StopWordRemoval+Stemming,32180,SUMM.TXT,0.17115,0.31707,0.22230,4

ROUGE-2+StopWordRemoval+Stemming,32180,SUMM.TXT,0.08439,0.10052,0.09175,4

ROUGE-SU4+StopWordRemoval+Stemming,32180,SUMM.TXT,0.12208,0.11351,0.11764,4

ROUGE-L+StopWordRemoval+Stemming,33037,SUMM.TXT,0.09586,0.24074,0.13712,3

ROUGE-1+StopWordRemoval+Stemming,33037,SUMM.TXT,0.11086,0.41888,0.17532,3

ROUGE-2+StopWordRemoval+Stemming,33037,SUMM.TXT,0.01460,0.04762,0.02234,3

ROUGE-SU4+StopWordRemoval+Stemming,33037,SUMM.TXT,0.05988,0.14234,0.08430,3

ROUGE-L+StopWordRemoval+Stemming,31654,SUMM.TXT,0.29834,0.27031,0.28363,4

ROUGE-1+StopWordRemoval+Stemming,31654,SUMM.TXT,0.37700,0.31645,0.34408,4

ROUGE-2+StopWordRemoval+Stemming,31654,SUMM.TXT,0.35422,0.12947,0.18963,4

ROUGE-SU4+StopWordRemoval+Stemming,31654,SUMM.TXT,0.36984,0.13212,0.19469,4

ROUGE-L+StopWordRemoval+Stemming,33035,SUMM.TXT,0.10499,0.23611,0.14535,3

ROUGE-1+StopWordRemoval+Stemming,33035,SUMM.TXT,0.10157,0.40979,0.16279,3

ROUGE-2+StopWordRemoval+Stemming,33035,SUMM.TXT,0.01316,0.04321,0.02018,3

ROUGE-SU4+StopWordRemoval+Stemming,33035,SUMM.TXT,0.06059,0.14953,0.08624,3

ROUGE-L+StopWordRemoval+Stemming,32067,SUMM.TXT,0.17188,0.46448,0.25091,3

ROUGE-1+StopWordRemoval+Stemming,32067,SUMM.TXT,0.17298,0.42466,0.24583,3

ROUGE-2+StopWordRemoval+Stemming,32067,SUMM.TXT,0.06926,0.11724,0.08708,3

ROUGE-SU4+StopWordRemoval+Stemming,32067,SUMM.TXT,0.12606,0.17500,0.14655,3

ROUGE-L+StopWordRemoval+Stemming,33036,SUMM.TXT,0.10902,0.23148,0.14823,3

ROUGE-1+StopWordRemoval+Stemming,33036,SUMM.TXT,0.10487,0.40351,0.16647,3

ROUGE-2+StopWordRemoval+Stemming,33036,SUMM.TXT,0.01594,0.05015,0.02419,3

ROUGE-SU4+StopWordRemoval+Stemming,33036,SUMM.TXT,0.06317,0.14940,0.08879,3

ROUGE-L+StopWordRemoval+Stemming,33154,SUMM.TXT,0.04706,0.50000,0.08602,3

ROUGE-1+StopWordRemoval+Stemming,33154,SUMM.TXT,0.02699,0.51667,0.05129,3

ROUGE-2+StopWordRemoval+Stemming,33154,SUMM.TXT,0.01425,0.22807,0.02682,3

ROUGE-SU4+StopWordRemoval+Stemming,33154,SUMM.TXT,0.01547,0.19259,0.02864,3

ROUGE-L+StopWordRemoval+Stemming,31650,SUMM.TXT,0.13023,0.41880,0.19868,3

ROUGE-1+StopWordRemoval+Stemming,31650,SUMM.TXT,0.20896,0.53722,0.30089,3

ROUGE-2+StopWordRemoval+Stemming,31650,SUMM.TXT,0.09761,0.18699,0.12826,3

ROUGE-SU4+StopWordRemoval+Stemming,31650,SUMM.TXT,0.14372,0.20948,0.17048,3

ROUGE-L+StopWordRemoval+Stemming,32186,SUMM.TXT,0.12555,0.44113,0.19547,3

ROUGE-1+StopWordRemoval+Stemming,32186,SUMM.TXT,0.12763,0.49642,0.20306,3

ROUGE-2+StopWordRemoval+Stemming,32186,SUMM.TXT,0.03374,0.10270,0.05079,3

ROUGE-SU4+StopWordRemoval+Stemming,32186,SUMM.TXT,0.07852,0.18188,0.10969,3

ROUGE-L+StopWordRemoval+Stemming,33155,SUMM.TXT,0.33258,0.37897,0.35426,4

ROUGE-1+StopWordRemoval+Stemming,33155,SUMM.TXT,0.36448,0.40545,0.38387,4

ROUGE-2+StopWordRemoval+Stemming,33155,SUMM.TXT,0.27775,0.16158,0.20430,4

ROUGE-SU4+StopWordRemoval+Stemming,33155,SUMM.TXT,0.31295,0.15806,0.21004,4

ROUGE-L+StopWordRemoval+Stemming,31655,SUMM.TXT,0.05577,0.50000,0.10034,3

ROUGE-1+StopWordRemoval+Stemming,31655,SUMM.TXT,0.03506,0.57862,0.06611,3

ROUGE-2+StopWordRemoval+Stemming,31655,SUMM.TXT,0.01687,0.21154,0.03125,3

ROUGE-SU4+StopWordRemoval+Stemming,31655,SUMM.TXT,0.02417,0.21699,0.04349,3

ROUGE-L+StopWordRemoval+Stemming,32865,SUMM.TXT,0.06963,0.50407,0.12236,3

ROUGE-1+StopWordRemoval+Stemming,32865,SUMM.TXT,0.02938,0.53595,0.05570,3

ROUGE-2+StopWordRemoval+Stemming,32865,SUMM.TXT,0.01615,0.19333,0.02981,3

ROUGE-SU4+StopWordRemoval+Stemming,32865,SUMM.TXT,0.01778,0.18776,0.03248,3

ROUGE-L+StopWordRemoval+Stemming,32623,SUMM.TXT,0.24831,0.80368,0.37940,3

ROUGE-1+StopWordRemoval+Stemming,32623,SUMM.TXT,0.18134,0.87757,0.30057,3

ROUGE-2+StopWordRemoval+Stemming,32623,SUMM.TXT,0.16728,0.60399,0.26200,3

ROUGE-SU4+StopWordRemoval+Stemming,32623,SUMM.TXT,0.19468,0.59843,0.29378,3

ROUGE-L+StopWordRemoval+Stemming,32609,SUMM.TXT,0.18488,0.49035,0.26851,3

ROUGE-1+StopWordRemoval+Stemming,32609,SUMM.TXT,0.25913,0.41544,0.31917,3

ROUGE-2+StopWordRemoval+Stemming,32609,SUMM.TXT,0.15104,0.18453,0.16611,3

ROUGE-SU4+StopWordRemoval+Stemming,32609,SUMM.TXT,0.19443,0.18625,0.19025,3

ROUGE-L+StopWordRemoval+Stemming,32051,SUMM.TXT,0.03521,0.30981,0.06323,3

ROUGE-1+StopWordRemoval+Stemming,32051,SUMM.TXT,0.02644,0.33044,0.04897,3

ROUGE-2+StopWordRemoval+Stemming,32051,SUMM.TXT,0.00043,0.01449,0.00083,3

ROUGE-SU4+StopWordRemoval+Stemming,32051,SUMM.TXT,0.01165,0.08356,0.02045,3

ROUGE-L+StopWordRemoval+Stemming,32170,SUMM.TXT,0.14540,0.40625,0.21415,4

