ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-SU4+StopWordRemoval+Stemming,32561,SUMM.TXT,0.26562,0.20458,0.23114,3

ROUGE-L+StopWordRemoval+Stemming,30947,SUMM.TXT,0.24818,0.60060,0.35122,4

ROUGE-1+StopWordRemoval+Stemming,30947,SUMM.TXT,0.29117,0.63791,0.39984,4

ROUGE-2+StopWordRemoval+Stemming,30947,SUMM.TXT,0.21317,0.27651,0.24075,4

ROUGE-SU4+StopWordRemoval+Stemming,30947,SUMM.TXT,0.26288,0.26883,0.26582,4

ROUGE-L+StopWordRemoval+Stemming,31914,SUMM.TXT,0.27744,0.37689,0.31961,4

ROUGE-1+StopWordRemoval+Stemming,31914,SUMM.TXT,0.27888,0.22780,0.25077,4

ROUGE-2+StopWordRemoval+Stemming,31914,SUMM.TXT,0.16440,0.08845,0.11502,4

ROUGE-SU4+StopWordRemoval+Stemming,31914,SUMM.TXT,0.21811,0.09342,0.13081,4

ROUGE-L+StopWordRemoval+Stemming,30946,SUMM.TXT,0.07251,0.72650,0.13186,3

ROUGE-1+StopWordRemoval+Stemming,30946,SUMM.TXT,0.04201,0.70556,0.07930,3

ROUGE-2+StopWordRemoval+Stemming,30946,SUMM.TXT,0.02595,0.33898,0.04821,3

ROUGE-SU4+StopWordRemoval+Stemming,30946,SUMM.TXT,0.03581,0.31379,0.06429,3

ROUGE-L+StopWordRemoval+Stemming,30941,SUMM.TXT,0.30620,0.78865,0.44113,3

ROUGE-1+StopWordRemoval+Stemming,30941,SUMM.TXT,0.19643,0.83635,0.31815,3

ROUGE-2+StopWordRemoval+Stemming,30941,SUMM.TXT,0.17175,0.47963,0.25293,3

ROUGE-SU4+StopWordRemoval+Stemming,30941,SUMM.TXT,0.19043,0.42255,0.26254,3

ROUGE-L+StopWordRemoval+Stemming,30820,SUMM.TXT,0.15017,0.49574,0.23051,3

ROUGE-1+StopWordRemoval+Stemming,30820,SUMM.TXT,0.10136,0.58864,0.17294,3

ROUGE-2+StopWordRemoval+Stemming,30820,SUMM.TXT,0.02682,0.09807,0.04212,3

ROUGE-SU4+StopWordRemoval+Stemming,30820,SUMM.TXT,0.07727,0.22621,0.11520,3

